date_time,temperature,description
23-07-2022 08:52:15,27.03,clear sky
23-07-2022 10:08:45,28.03,few clouds
23-07-2022 13:06:29,29.03,scattered clouds
23-07-2022 16:12:24,28.03,few clouds
23-07-2022 19:06:41,26.03,scattered clouds
23-07-2022 22:08:03,24.03,few clouds
24-07-2022 01:06:12,24.03,scattered clouds
24-07-2022 04:42:31,24.03,few clouds
24-07-2022 07:50:44,25.03,scattered clouds
24-07-2022 10:08:49,27.03,broken clouds
24-07-2022 13:06:45,28.03,few clouds
24-07-2022 16:12:02,26.03,few clouds
24-07-2022 19:06:48,24.03,scattered clouds
24-07-2022 22:08:48,23.03,scattered clouds
25-07-2022 01:06:14,23.03,broken clouds
25-07-2022 04:40:21,23.03,few clouds
25-07-2022 08:00:59,23.03,scattered clouds
25-07-2022 10:10:40,23.03,few clouds
25-07-2022 13:07:34,25.03,scattered clouds
25-07-2022 16:14:13,27.03,clear sky
25-07-2022 19:07:14,25.03,clear sky
25-07-2022 22:08:33,22.03,clear sky
26-07-2022 01:06:22,21.03,clear sky
26-07-2022 04:41:45,19.03,clear sky
26-07-2022 08:20:28,26.03,clear sky
26-07-2022 10:10:18,28.03,clear sky
26-07-2022 13:07:04,30.03,clear sky
26-07-2022 16:13:28,29.03,clear sky
26-07-2022 19:07:41,27.03,clear sky
26-07-2022 22:08:31,25.03,clear sky
27-07-2022 01:06:12,23.03,clear sky
27-07-2022 04:42:27,21.03,clear sky
27-07-2022 08:02:35,26.03,clear sky
27-07-2022 10:09:22,30.03,clear sky
27-07-2022 13:06:51,33.03,clear sky
27-07-2022 16:15:35,34.03,clear sky
27-07-2022 19:07:41,31.03,clear sky
27-07-2022 22:08:32,28.03,clear sky
28-07-2022 01:06:25,26.03,scattered clouds
28-07-2022 04:39:05,25.03,few clouds
28-07-2022 07:57:29,26.03,few clouds
28-07-2022 10:09:26,26.03,broken clouds
28-07-2022 13:06:52,27.03,broken clouds
28-07-2022 16:16:39,28.03,few clouds
28-07-2022 19:07:02,26.03,few clouds
28-07-2022 22:09:02,25.03,scattered clouds
29-07-2022 01:06:39,25.03,scattered clouds
29-07-2022 04:40:14,24.03,clear sky
29-07-2022 08:01:48,26.03,few clouds
29-07-2022 10:09:13,29.03,clear sky
29-07-2022 13:07:04,30.03,clear sky
29-07-2022 16:13:42,29.03,clear sky
29-07-2022 19:11:43,27.03,clear sky
29-07-2022 22:08:56,24.03,clear sky
30-07-2022 01:06:06,23.03,clear sky
30-07-2022 04:35:19,22.03,clear sky
30-07-2022 07:59:13,26.03,clear sky
30-07-2022 10:08:25,30.03,clear sky
30-07-2022 13:06:30,31.03,clear sky
30-07-2022 16:11:13,31.03,clear sky
30-07-2022 19:06:41,29.03,clear sky
30-07-2022 22:07:41,27.03,clear sky
31-07-2022 01:05:38,23.03,clear sky
31-07-2022 04:38:58,24.03,clear sky
31-07-2022 07:53:53,26.03,scattered clouds
31-07-2022 10:08:29,27.03,scattered clouds
31-07-2022 13:06:33,32.03,clear sky
31-07-2022 16:13:12,32.03,clear sky
31-07-2022 19:06:47,27.03,clear sky
31-07-2022 22:07:37,25.03,clear sky
01-08-2022 01:05:47,24.03,clear sky
01-08-2022 04:48:07,22.03,clear sky
01-08-2022 08:22:10,26.03,scattered clouds
01-08-2022 10:23:41,29.03,clear sky
01-08-2022 13:07:58,32.03,clear sky
01-08-2022 16:15:09,32.03,clear sky
01-08-2022 19:08:21,29.03,clear sky
01-08-2022 22:09:02,27.03,clear sky
02-08-2022 01:06:33,25.03,clear sky
02-08-2022 04:43:42,23.03,clear sky
02-08-2022 08:20:09,29.03,clear sky
02-08-2022 10:10:12,32.03,clear sky
02-08-2022 13:06:57,33.03,clear sky
02-08-2022 16:17:18,33.03,clear sky
02-08-2022 19:07:08,30.03,clear sky
02-08-2022 22:10:17,26.03,clear sky
03-08-2022 01:06:57,24.03,clear sky
03-08-2022 04:44:54,22.03,clear sky
03-08-2022 08:16:35,27.03,few clouds
03-08-2022 10:09:27,32.03,clear sky
03-08-2022 13:07:00,34.03,clear sky
03-08-2022 16:13:39,34.03,few clouds
03-08-2022 19:07:52,31.03,clear sky
03-08-2022 22:09:09,28.03,clear sky
04-08-2022 01:06:41,27.03,few clouds
04-08-2022 04:43:17,26.03,scattered clouds
04-08-2022 07:49:43,28.03,clear sky
04-08-2022 10:10:18,31.03,clear sky
04-08-2022 13:06:53,33.03,clear sky
04-08-2022 16:12:51,32.03,clear sky
04-08-2022 19:07:34,30.03,clear sky
04-08-2022 22:08:42,27.03,clear sky
05-08-2022 01:06:24,26.03,clear sky
05-08-2022 04:46:44,24.03,clear sky
05-08-2022 07:59:13,27.03,clear sky
05-08-2022 10:09:12,30.03,clear sky
05-08-2022 13:07:10,34.03,clear sky
05-08-2022 16:13:19,31.03,clear sky
05-08-2022 19:07:20,29.03,clear sky
05-08-2022 22:08:55,27.03,clear sky
06-08-2022 01:06:23,27.03,few clouds
06-08-2022 04:38:21,27.03,scattered clouds
06-08-2022 07:38:42,26.03,few clouds
06-08-2022 10:08:43,26.03,few clouds
06-08-2022 13:15:59,30.03,few clouds
06-08-2022 16:29:01,29.03,few clouds
06-08-2022 19:16:50,27.03,few clouds
06-08-2022 22:20:24,27.03,clear sky
07-08-2022 01:15:35,26.03,clear sky
07-08-2022 05:48:13,25.03,few clouds
07-08-2022 07:44:44,26.03,few clouds
07-08-2022 10:20:57,28.03,few clouds
07-08-2022 13:15:48,29.03,scattered clouds
07-08-2022 16:29:49,30.03,clear sky
07-08-2022 19:16:48,28.03,scattered clouds
07-08-2022 22:20:31,25.03,light intensity shower rain
08-08-2022 01:14:15,26.03,light intensity shower rain
08-08-2022 05:40:41,24.03,scattered clouds
